Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.29297770,9.78850700
0.00032768,-0.29297770,9.61088900
0.00065536,-0.29297770,9.78850700
0.00098304,-0.29297770,9.61088900
0.00131072,-0.29297770,9.78850700
0.00163840,-0.29297770,9.78850700
0.00196608,-0.29297770,9.78850700
0.00229376,-0.11474960,9.78850700
0.00262144,-0.29297770,9.78850700
0.00294912,-0.29297770,9.78850700
0.00327680,-0.29297770,9.78850700
0.00360448,-0.29297770,9.78850700
0.00393216,-0.11474960,9.78850700
0.00425984,-0.29297770,9.61088900
0.00458752,-0.11474960,9.61088900
0.00491520,-0.29297770,9.78850700
0.00524288,-0.11474960,9.96673500
0.00557056,-0.11474960,9.78850700
0.00589824,-0.11474960,9.61088900
0.00622592,-0.29297770,9.96673500
0.00655360,-0.11474960,9.78850700
0.00688128,-0.29297770,9.61088900
0.00720896,-0.29297770,9.61088900
0.00753664,-0.11474960,9.78850700
0.00786432,-0.11474960,9.78850700
0.00819200,0.06286813,9.78850700
0.00851968,0.06286813,9.61088900
0.00884736,0.06286813,9.78850700
0.00917504,-0.29297770,9.78850700
0.00950272,-0.11474960,9.61088900
0.00983040,0.06286813,9.78850700
0.01015808,-0.11474960,9.78850700
0.01048576,0.06286813,9.78850700
0.01081344,-0.29297770,9.78850700
0.01114112,-0.11474960,9.78850700
0.01146880,-0.11474960,9.78850700
0.01179648,0.06286813,9.78850700
0.01212416,-0.11474960,9.78850700
0.01245184,0.06286813,9.96673500
0.01277952,-0.11474960,9.78850700
0.01310720,-0.11474960,9.78850700
0.01343488,0.06286813,9.61088900
0.01376256,0.06286813,9.61088900
0.01409024,0.06286813,9.78850700
0.01441792,0.06286813,9.78850700
0.01474560,-0.11474960,9.78850700
0.01507328,-0.29297770,9.78850700
0.01540096,-0.29297770,9.78850700
0.01572864,-0.29297770,9.61088900
0.01605632,-0.29297770,9.78850700
0.01638400,-0.29297770,9.78850700
0.01671168,-0.29297770,9.78850700
0.01703936,-0.11474960,9.78850700
0.01736704,-0.29297770,9.78850700
0.01769472,-0.29297770,9.78850700
0.01802240,-0.29297770,9.78850700
0.01835008,-0.29297770,9.78850700
0.01867776,-0.11474960,9.78850700
0.01900544,-0.29297770,9.61088900
0.01933312,-0.29297770,9.78850700
0.01966080,-0.11474960,9.78850700
0.01998848,-0.29297770,9.78850700
0.02031616,-0.29297770,9.78850700
0.02064384,-0.29297770,9.61088900
0.02097152,-0.29297770,9.78850700
0.02129920,-0.29297770,9.78850700
0.02162688,-0.29297770,9.78850700
0.02195456,-0.29297770,9.78850700
0.02228224,-0.29297770,9.78850700
0.02260992,-0.29297770,9.78850700
0.02293760,-0.11474960,9.78850700
0.02326528,-0.29297770,9.78850700
0.02359296,-0.29297770,9.78850700
0.02392064,-0.29297770,9.61088900
0.02424832,-0.29297770,9.61088900
0.02457600,-0.29297770,9.61088900
0.02490368,-0.29297770,9.78850700
0.02523136,-0.11474960,9.61088900
0.02555904,-0.29297770,9.78850700
0.02588672,0.06286813,9.78850700
0.02621440,-0.11474960,9.61088900
0.02654208,-0.29297770,9.78850700
0.02686976,-0.11474960,9.78850700
